Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Alavés,27,22.0,346,217,175,137,34,104,325,32.0,221,3110,922,29.6,999,1411,700,346,52,2,294,215,561,562,6
Athletic Club,24,21.0,299,185,134,128,37,82,280,29.3,198,2678,793,29.6,811,1164,703,287,35,2,252,151,450,422,2
Atlético Madrid,23,20.0,355,235,164,142,49,144,347,41.5,203,2504,769,30.7,799,1138,567,320,49,0,271,191,546,408,3
Barcelona,24,21.0,292,184,136,117,39,106,255,41.6,149,2467,765,31.0,711,1113,643,310,46,0,264,156,448,257,7
Betis,25,22.0,344,226,157,142,45,100,295,33.9,195,2809,830,29.5,813,1369,627,299,41,2,258,236,580,432,6
Cádiz,32,22.0,367,236,195,134,38,129,365,35.3,236,2999,828,27.6,1139,1339,521,356,62,2,294,220,587,476,7
Celta Vigo,27,22.0,385,238,176,174,35,121,382,31.7,261,3293,986,29.9,1053,1632,608,344,52,1,292,191,576,530,2
Eibar,28,22.0,344,222,146,152,46,112,320,35.0,208,2864,920,32.1,755,1270,839,324,40,2,284,194,538,553,2
Elche,27,20.0,323,213,201,108,14,104,316,32.9,212,2502,730,29.2,1064,1071,367,320,71,2,249,176,499,431,6
Getafe,27,22.0,347,229,150,156,41,117,324,36.1,207,3229,951,29.5,871,1632,726,328,44,2,284,212,559,553,3
Granada,32,22.0,324,211,161,127,36,81,262,30.9,181,2665,762,28.6,868,1224,573,377,86,1,291,210,534,548,7
Huesca,26,22.0,388,249,202,152,34,140,374,37.4,234,3117,955,30.6,1086,1443,588,352,65,0,287,177,565,423,5
Levante,26,21.0,326,208,161,133,32,109,308,35.4,199,2666,761,28.5,855,1170,641,307,61,2,246,201,527,510,4
Osasuna,25,22.0,330,202,141,149,40,113,299,37.8,186,2846,843,29.6,830,1344,672,309,60,1,249,165,495,583,3
Real Madrid,27,22.0,358,221,171,139,48,112,328,34.1,216,2664,806,30.3,841,1180,643,313,61,4,252,225,583,306,8
Real Sociedad,29,22.0,328,199,145,136,47,97,297,32.7,200,2783,853,30.7,745,1299,739,302,53,1,249,126,454,440,2
Sevilla,26,21.0,309,218,134,129,46,114,307,37.1,193,2444,821,33.6,676,1171,597,288,57,2,231,154,463,404,4
Valencia,26,22.0,315,195,154,123,38,117,348,33.6,231,2752,736,26.7,988,1186,578,379,93,1,286,141,456,557,7
Valladolid,30,22.0,367,220,192,135,40,119,391,30.4,272,3252,913,28.1,1073,1495,684,356,69,1,287,175,542,551,6
Villarreal,26,22.0,327,191,133,147,47,96,321,29.9,225,2772,807,29.1,809,1279,684,344,62,2,282,154,481,402,6
