Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Nahuel Yeri\Nahuel-Yeri,ar ARG,MFDF,Aldosivi,27,1991,4,2,190,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Lucas Villalba\Lucas-Villalba,ar ARG,DF,Aldosivi,24,1994,21,21,1890,0,2,0,0,6,0,0.00,0.10,0.10,0.00,0.10,Matches
3,Gonzalo Verón\Gonzalo-Veron,ar ARG,FW,Aldosivi,29,1989,16,13,1069,1,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,Matches
4,Facundo Tobares\Facundo-Tobares,ar ARG,FW,Aldosivi,19,2000,1,0,56,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Nazareno Solís\Nazareno-Solis,ar ARG,FWMF,Aldosivi,25,1994,17,14,1209,2,1,0,0,3,0,0.15,0.07,0.22,0.15,0.22,Matches
6,Alan Ruiz\Alan-Ruiz,ar ARG,FWMF,Aldosivi,25,1993,6,0,129,1,0,1,1,0,0,0.70,0.00,0.70,0.00,0.00,Matches
7,Sebastián Rincón\Sebastian-Rincon,co COL,FWMF,Aldosivi,25,1994,18,12,1153,3,2,1,1,3,0,0.23,0.16,0.39,0.16,0.31,Matches
8,Luciano Pocrnjic\Luciano-Pocrnjic,ar ARG,GK,Aldosivi,37,1981,22,22,1980,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Franco Pérez\Franco-Perez,ar ARG,FW,Aldosivi,20,1998,7,4,337,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Marcos Miers\Marcos-Miers,py PAR,DF,Aldosivi,29,1990,19,19,1573,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches
11,Román Martínez\Roman-Martinez,ar ARG,MF,Aldosivi,36,1983,7,4,378,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Leandro Maciel\Leandro-Maciel,ar ARG,MF,Aldosivi,23,1995,16,14,1069,0,1,0,0,5,1,0.00,0.08,0.08,0.00,0.08,Matches
13,Mario López Quintana\Mario-Lopez-Quintana,py PAR,DF,Aldosivi,24,1995,1,1,87,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Emanuel Iñíguez\Emanuel-Iniguez,ar ARG,DF,Aldosivi,22,1996,13,13,1066,1,1,0,0,3,0,0.08,0.08,0.17,0.08,0.17,Matches
15,Joaquín Indacoechea\Joaquin-Indacoechea,ar ARG,MF,Aldosivi,18,2000,3,0,44,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Francisco Grahl\Francisco-Grahl,ar ARG,MF,Aldosivi,28,1991,12,6,502,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Federico Gino\Federico-Gino,uy URU,MF,Aldosivi,26,1993,20,20,1784,4,1,0,0,8,0,0.20,0.05,0.25,0.20,0.25,Matches
18,Gastón Gil Romero\Gaston-Gil-Romero,ar ARG,MF,Aldosivi,26,1993,18,16,1260,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches
19,Leonel Galeano\Leonel-Galeano,ar ARG,DF,Aldosivi,27,1991,22,22,1927,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Caín Fara\Cain-Fara,ar ARG,DF,Aldosivi,25,1994,9,9,751,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Fernando Evangelista\Fernando-Evangelista,ar ARG,DF,Aldosivi,26,1992,8,4,358,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Rodrigo Contreras\Rodrigo-Contreras,ar ARG,FW,Aldosivi,23,1995,3,0,103,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Hernán Burbano\Hernan-Burbano,co COL,FWMF,Aldosivi,31,1988,3,0,67,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
24,Facundo Bertoglio\Facundo-Bertoglio,ar ARG,MFFW,Aldosivi,29,1990,19,16,1429,3,0,0,0,2,0,0.19,0.00,0.19,0.19,0.19,Matches
25,Pablo Becker\Pablo-Becker,ar ARG,MF,Aldosivi,26,1993,2,0,126,1,0,0,0,0,0,0.71,0.00,0.71,0.71,0.71,Matches
26,Nicolás Bazzana\Nicolas-Bazzana,ar ARG,DF,Aldosivi,23,1996,12,5,648,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
27,Fabián Assmann\Fabian-Assmann,ar ARG,GK,Aldosivi,33,1986,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Federico Andrada\Federico-Andrada,ar ARG,FW,Aldosivi,25,1994,21,15,1428,3,2,0,0,2,0,0.19,0.13,0.32,0.19,0.32,Matches
29,Fausto Vera\Fausto-Vera,ar ARG,MF,Argentinos Jun,19,2000,14,9,891,1,0,0,0,5,0,0.10,0.00,0.10,0.10,0.10,Matches
30,Diego Sosa\Diego-Sosa,ar ARG,MFFW,Argentinos Jun,27,1991,15,9,872,0,2,0,0,2,0,0.00,0.21,0.21,0.00,0.21,Matches
